reply_text,username,date,likes,replies
@BRICSinfo @grok  its true?,DaculCibernetic,Wed Apr 01 00:54:37 +0000 2026,0,1
@BRICSinfo https://t.co/CHCqfTXJ72,KayodeTairu,Wed Apr 01 03:34:02 +0000 2026,0,0
@BRICSinfo https://t.co/BfQeM59HjT,Qatab10,Wed Apr 01 00:52:34 +0000 2026,0,0
@BRICSinfo On your ground invasion I’n iran  your marine ass will be opened when we all find out there paper tiger 🤦‍♂️,BrainEazi46686,Wed Apr 01 02:12:49 +0000 2026,0,0
@BRICSinfo My God. Terrifying.,MainCharFinder,Wed Apr 01 00:04:32 +0000 2026,1,0
@BRICSinfo israel doesn't thank you buddy,MarvinMewMew,Wed Apr 01 00:05:02 +0000 2026,1,0
@BRICSinfo @ia_bebeto When would this end ?,MichaelBrains,Tue Mar 31 23:51:06 +0000 2026,0,1
@BRICSinfo nigga look gay 😂,MadByAura,Wed Apr 01 00:36:12 +0000 2026,0,0
"@BRICSinfo and these guys in ""kaccha"" are there for ground invasion of Iran😂",silentVoice2776,Wed Apr 01 04:45:02 +0000 2026,0,0
@BRICSinfo @grok Which specific U.S. base was struck by Iranian missiles in this incident and What kind of ballistic missiles did Iran use in the strike?,Siboguzzman,Wed Apr 01 03:35:58 +0000 2026,0,1
@BRICSinfo @grok on which location it's shot,Tayyab_Offical,Tue Mar 31 23:35:27 +0000 2026,0,1
@BRICSinfo This w@r is still ongoing? I thought they are negotiating a cease f!re?,Ahindehezekiah,Wed Apr 01 00:07:47 +0000 2026,0,1
"@BRICSinfo Gholamhossein Mohseni Ejei, head of the judiciary and a central figure behind decades of executions and systemic repression, has been eliminated in a targeted strike today in Gisha, Tehran",AwobusuyiA,Wed Apr 01 03:56:01 +0000 2026,0,0
@BRICSinfo Closer than a SCUD!,Joshua_James_76,Wed Apr 01 10:26:34 +0000 2026,0,0
"@BRICSinfo @hvrveymvrcus A belief system should increase awareness of how your actions affect others, not reduce it. But when people start feeling justified in being harsh or dismissive, it usually means something important has been overlooked.",AlwaysAphorism,Tue Mar 31 23:27:35 +0000 2026,0,0
"@BRICSinfo The U.S. is going to have MANY MANY casualties.
This lingerie model isn't protecting anyone soon. https://t.co/yi96a6CsRs",OannesInNineveh,Wed Apr 01 03:08:10 +0000 2026,2,1
"@BRICSinfo I keep hearing that they have just few missiles left to lunch, I am hoping they surrender soonest.",samobaba24,Wed Apr 01 06:00:46 +0000 2026,0,1
@BRICSinfo @grok when was this?,BasiruAbdullai,Tue Mar 31 23:37:56 +0000 2026,0,1
@BRICSinfo is this their usual uniform? https://t.co/xR8r9OY18Q,LaurenLindsayDj,Wed Apr 01 02:13:53 +0000 2026,3,1
@BRICSinfo Old! From 2020,ItsAllFineHere,Wed Apr 01 01:41:59 +0000 2026,1,0
